Date,田中ちえ美のだららんど,相良茉優のFUN！FAN！FACTORY,久保田未夢のNice to MEAT you ＆ YOU,大西亜玖璃の大和撫子への道,スナックちえみ倶楽部,村上奈津実のなっチャンネル
2018-12-31,0.0,0.0,0.0,0.0,0.0,2.833
2019-01-31,0.0,0.0,0.0,0.0,0.0,5.466
2019-02-28,0.0,0.0,0.0,0.0,0.0,8.416
2019-03-31,0.0,0.0,1.35,0.0,0.0,11.166
2019-04-30,0.0,0.0,5.317,0.0,0.0,15.016
2019-05-31,0.0,0.0,8.35,0.0,0.0,17.649
2019-06-30,0.0,0.0,11.85,0.0,0.0,20.149
2019-07-31,0.0,0.0,14.784,0.0,0.0,23.216
2019-08-31,0.0,0.0,17.634,0.0,0.0,26.049
2019-09-30,0.0,0.0,22.567,0.0,0.0,28.432
2019-10-31,0.0,0.0,25.384,0.0,0.0,31.232
2019-11-30,0.0,0.0,28.351,0.0,0.0,34.015
2019-12-31,0.0,0.0,31.501,0.0,0.0,37.432
2020-01-31,0.0,0.0,34.484,0.0,0.0,40.415
2020-02-29,0.0,0.0,37.15,0.0,0.0,43.232
2020-03-31,0.0,0.0,40.2,0.0,0.0,46.449
2020-04-30,0.0,0.0,40.2,0.0,0.0,51.749
2020-05-31,0.0,0.0,41.633,0.0,0.0,54.649
2020-06-30,0.0,0.0,42.666,0.0,1.2,57.783
2020-07-31,0.0,0.0,44.316,0.0,2.433,60.733
2020-08-31,0.0,0.0,45.849,0.0,3.633,63.566
2020-09-30,0.0,0.0,47.216,0.0,4.883,68.416
2020-10-31,0.0,0.0,48.583,0.0,6.116,71.483
2020-11-30,0.0,9.193,50.166,0.0,7.866,75.266
2020-12-31,0.0,18.778,52.016,0.0,9.116,78.732
2021-01-31,0.0,26.554,53.449,0.0,10.683,82.232
2021-02-28,0.0,37.697,54.849,0.0,12.1,85.332
2021-03-31,0.0,52.394,56.182,0.0,13.467,88.299
2021-04-30,2.85,71.303,57.449,0.0,15.067,96.132
2021-05-31,5.801,112.989,59.733,0.0,16.367,99.182
2021-06-30,9.384,127.284,62.049,1.3,18.084,102.698
2021-07-31,13.651,137.449,63.632,2.7,19.751,105.932
2021-08-31,17.101,188.459,65.415,4.083,21.384,109.182
2021-09-30,19.834,198.332,67.198,5.35,22.901,113.782
2021-10-31,22.95,213.038,69.048,6.633,24.651,117.232
2021-11-30,26.867,227.832,71.481,8.05,26.284,120.748
2021-12-31,29.817,242.691,73.381,9.45,27.934,123.998
2022-01-31,32.984,256.766,75.298,10.85,30.234,127.364
2022-02-28,35.767,266.471,77.298,12.283,32.167,130.847
2022-03-31,39.683,285.352,78.515,13.566,38.35,134.23
