Date,Channel,Duration,hour,min,sec
2018-12-17,Uninal,1.433,,,
2018-12-25,Uninal,1.400,,,
2019-01-08,Uninal,1.333,,,
2019-01-18,Uninal,1.300,,,
2019-02-04,Uninal,1.400,,,
2019-02-19,Uninal,1.550,,,
2019-03-05,Uninal,1.283,,,
2019-03-19,Uninal,1.467,,,
2019-03-20,Meat,1.350,,,
2019-04-01,Uninal,2.467,,,
2019-04-15,Meat,1.600,,,
2019-04-16,Uninal,1.383,,,
2019-04-29,Meat,2.367,,,
2019-05-03,Uninal,1.133,,,
2019-05-13,Meat,1.483,,,
2019-05-21,Uninal,1.500,,,
2019-05-27,Meat,1.550,,,
2019-06-04,Uninal,1.217,,,
2019-06-10,Meat,1.567,,,
2019-06-18,Uninal,1.283,,,
2019-06-24,Meat,1.933,,,
2019-07-02,Uninal,1.650,,,
2019-07-08,Meat,1.417,,,
2019-07-22,Meat,1.517,,,
2019-07-25,Uninal,1.417,,,
2019-08-05,Meat,1.450,,,
2019-08-06,Uninal,1.333,,,
2019-08-19,Meat,1.400,,,
2019-08-23,Uninal,1.500,,,
2019-09-02,Meat,1.483,,,
2019-09-16,Meat,1.450,,,
2019-09-21,Uninal,0.850,,,
2019-09-23,Uninal,1.533,,,
2019-09-30,Meat,2.000,,,
2019-10-04,Uninal,1.533,,,
2019-10-14,Meat,1.400,,,
2019-10-28,Meat,1.417,,,
2019-10-29,Uninal,1.267,,,
2019-11-11,Meat,1.400,,,
2019-11-12,Uninal,1.350,,,
2019-11-25,Meat,1.567,,,
2019-11-26,Uninal,1.433,,,
2019-12-09,Meat,1.517,,,
2019-12-12,Uninal,1.700,,,
2019-12-23,Meat,1.633,,,
2019-12-25,Uninal,1.717,,,
2020-01-03,Uninal,1.500,,,
2020-01-06,Meat,1.500,,,
2020-01-20,Meat,1.483,,,
2020-01-24,Uninal,1.483,,,
2020-02-03,Meat,1.383,,,
2020-02-07,Uninal,1.300,,,
2020-02-17,Meat,1.283,,,
2020-02-21,Uninal,1.517,,,
2020-03-02,Meat,1.483,,,
2020-03-14,Uninal,1.600,,,
2020-03-24,Uninal,1.617,,,
2020-03-30,Meat,1.567,,,
2020-04-01,Uninal,2.633,,,
2020-04-07,Uninal,1.400,,,
2020-04-20,Akina,2.477,,,
2020-04-28,Uninal,1.267,,,
2020-04-30,Akina,1.025,,,
2020-05-07,Akina,1.066,,,
2020-05-09,Akina,1.788,,,
2020-05-12,Uninal,1.283,,,
2020-05-14,Akina,1.122,,,
2020-05-18,Akina,1.355,,,
2020-05-21,Akina,1.515,,,
2020-05-25,Meat,1.433,,,
2020-05-26,Uninal,1.617,,,
2020-05-28,Akina,1.313,,,
2020-06-06,Akina,1.171,,,
2020-06-11,Akina,1.283,,,
2020-06-15,Akina,2.302,,,
2020-06-16,Uninal,1.617,,,
2020-06-18,Akina,1.196,,,
2020-06-23,Snack,1.200,,,
2020-06-23,Uninal,1.517,,,
2020-06-25,Akina,1.322,,,
2020-06-29,Meat,1.033,,,
2020-07-02,Akina,1.933,,,
2020-07-07,Uninal,1.317,,,
2020-07-10,Akina,1.383,,,
2020-07-16,Akina,1.370,,,
2020-07-20,Meat,1.650,,,
2020-07-23,Uninal,1.633,,,
2020-07-23,Akina,1.278,,,
2020-07-28,Snack,1.233,,,
2020-07-30,Akina,1.322,,,
2020-08-04,Uninal,1.483,,,
2020-08-17,Meat,1.533,,,
2020-08-18,Snack,1.200,,,
2020-08-19,Akina,1.369,,,
2020-08-25,Uninal,1.350,,,
2020-08-26,Akina,1.185,,,
2020-09-02,Akina,1.390,,,
2020-09-06,Uninal,3.100,,,
2020-09-09,Akina,1.108,,,
2020-09-14,Meat,1.367,,,
2020-09-15,Snack,1.250,,,
2020-09-16,Akina,1.410,,,
2020-09-17,Akina,1.092,,,
2020-09-17,Akina,1.183,,,
2020-09-17,Akina,1.528,,,
2020-09-19,Akina,1.024,,,
2020-09-21,Akina,1.291,,,
2020-09-23,Akina,1.374,,,
2020-09-29,Uninal,1.750,,,
2020-10-02,Akina,1.135,,,
2020-10-02,Akina,1.806,,,
2020-10-07,Akina,1.253,,,
2020-10-10,Uninal,1.500,,,
2020-10-12,Meat,1.367,,,
2020-10-14,Akina,1.263,,,
2020-10-20,Snack,1.233,,,
2020-10-21,Akina,1.359,,,
2020-10-22,Uninal,1.567,,,
2020-10-28,Akina,1.274,,,
2020-11-02,FFF,1.839,,,
2020-11-04,Akina,1.463,,,
2020-11-05,Akina,2.460,,,
2020-11-07,Akina,1.477,,,
2020-11-09,FFF,1.558,,,
2020-11-09,Meat,1.583,,,
2020-11-09,Snack,1.750,,,
2020-11-11,Akina,1.203,,,
2020-11-12,Uninal,1.883,,,
2020-11-16,FFF,2.081,,,
2020-11-22,Akina,2.397,,,
2020-11-23,FFF,1.845,,,
2020-11-23,Akina,1.274,,,
2020-11-24,Uninal,1.900,,,
2020-11-25,Akina,1.281,,,
2020-11-30,FFF,1.870,,,
2020-12-02,Akina,1.578,,,
2020-12-03,Akina,1.743,,,
2020-12-06,Uninal,1.783,,,
2020-12-07,FFF,1.883,,,
2020-12-07,Snack,1.250,,,
2020-12-09,Akina,2.767,,,
2020-12-09,Akina,1.593,,,
2020-12-14,FFF,2.030,,,
2020-12-16,Akina,1.568,,,
2020-12-16,Akina,1.384,,,
2020-12-20,Uninal,1.683,,,
2020-12-21,FFF,2.054,,,
2020-12-21,Meat,1.850,,,
2020-12-23,Akina,1.802,,,
2020-12-24,Akina,3.306,,,
2020-12-28,FFF,3.618,,,
2021-01-07,Akina,1.903,,,
2021-01-09,Uninal,1.667,,,
2021-01-11,FFF,1.606,,,
2021-01-13,Akina,1.896,,,
2021-01-13,Akina,1.964,,,
2021-01-18,FFF,1.433,,,
2021-01-18,Meat,1.433,,,
2021-01-19,Uninal,1.833,,,
2021-01-20,Akina,1.854,,,
2021-01-25,FFF,2.226,,,
2021-01-27,Akina,1.947,,,
2021-01-27,Akina,2.598,,,
2021-01-28,FFF,2.511,,,
2021-01-29,Snack,1.567,,,
2021-01-29,Akina,2.225,,,
2021-02-01,FFF,2.724,,,
2021-02-03,Akina,1.667,,,
2021-02-08,FFF,2.482,,,
2021-02-11,Uninal,1.667,,,
2021-02-11,Akina,2.050,,,
2021-02-12,Akina,1.917,,,
2021-02-13,Akina,2.981,,,
2021-02-15,Meat,1.400,,,
2021-02-17,Akina,1.619,,,
2021-02-22,FFF,2.452,,,
2021-02-22,Snack,1.417,,,
2021-02-23,FFF,3.485,,,
2021-02-23,Uninal,1.433,,,
2021-02-24,Akina,2.003,,,
2021-02-28,Akina,1.594,,,
2021-03-01,FFF,2.102,,,
2021-03-03,Akina,1.767,,,
2021-03-07,Uninal,1.450,,,
2021-03-08,FFF,3.161,,,
2021-03-08,Akina,1.206,,,
2021-03-11,Akina,1.556,,,
2021-03-15,FFF,3.864,,,
2021-03-16,Snack,1.367,,,
2021-03-16,Akina,0.939,,,
